Year,ISIN,Weight
2013,JP3820000002,2.376824806927003e-08
2013,JP3582600007,3.543122211150339e-07
2013,JP3463000004,1.8148659787290314e-08
2013,AU000000NAB4,1.9919059726754456e-07
2013,JP3830800003,6.201124448330297e-09
2013,JP3818000006,2.6253590707442476e-08
2013,JP3903000002,2.7155322435164855e-10
2013,JP3551520004,1.7189486859475418e-07
2013,JP3743000006,6.9428768130592985e-09
2013,JP3814800003,1.4184335535839537e-08
2013,AU000000BWP3,5.281086840178509e-08
2013,JP3505000004,4.6982296230400974e-08
2013,JP3753000003,5.230164631441675e-11
2013,JP3902400005,2.6976685348744828e-08
2013,JP3854600008,1.2827965445549152e-08
2013,JP3166000004,4.639573043832513e-08
2013,AU000000AMP6,1.769943789947959e-07
2013,AU000000IAG3,1.2929679774890913e-07
2013,JP3551500006,2.220558648786715e-08
2013,JP3368000000,4.909028580215259e-10
2013,AU0000038911,3.733125343268673e-09
2013,AU000000CQR9,4.7231251539738116e-07
2013,JP3605400005,6.756984400608975e-12
2013,JP3787000003,7.321645036259562e-08
2013,JP3419400001,2.6220110207701695e-08
2013,AU000000QAN2,2.2552538006625848e-10
2013,AU000000BEN6,1.838598358106157e-07
2013,JP3814000000,7.669622538244116e-09
2013,JP3357200009,0.01930376234197285
2013,AU000000WBC1,1.8301445490630456e-07
2013,JP3657400002,3.184838740663108e-08
2013,AU000000COH5,0.00019841627020625037
2013,AU000000GPT8,2.0894274819210083e-07
2013,JP3890310000,1.2183748750804867e-07
2013,JP3850200001,0.0031242170093134635
2013,AU000000STO6,4.871798952825451e-09
2013,JP3111200006,1.7019134596134214e-09
2013,JP3256000005,2.7904915314536444e-08
2013,SG1R50925390,1.4149393485399703e-09
2013,JP3819400007,1.297482532620292e-07
2013,JP3544000007,3.207402186554868e-09
2013,AU000000SHL7,1.8287168088190656e-08
2013,SG1R89002252,1.2892741813248253e-07
2013,JP3260800002,0.037951922720274804
2013,JP3519400000,5.01117975108103e-08
2013,AU000000SIG5,0.014564616815222507
2013,AU000000CSL8,4.4756742035615153e-08
2013,SG1J26887955,0.014659752051668322
2013,AU000000MGR9,2.7379512400042185e-07
2013,JP3443600006,2.4728927550919595e-08
2013,JP3371200001,0.026897925157940705
2013,JP3678000005,8.825669607590328e-09
2013,SG9999000020,4.2765639948273854e-08
2013,AU000000DXS1,1.3494339267445672e-07
2013,AU000000BHP4,5.631454905412569e-09
2013,JP3496400007,8.86458103033828e-08
2013,JP3940000007,9.358362253409285e-09
2013,JP3769000005,1.1428023464220581e-07
2013,AU000000IVC8,5.03806418039116e-08
2013,JP3783600004,2.3886865021711172e-08
2013,JP3201200007,4.772116226919355e-08
2013,AU000000SGP0,1.4565210725499371e-07
2013,JP3955000009,4.119533370260044e-08
2013,JP3421100003,1.2577468540443474e-08
2013,JP3112000009,2.4567140385963693e-09
2013,JP3385980002,1.1809915643523072e-08
2013,JP3778630008,1.2320835972158266e-07
2013,JP3228600007,0.0
2013,JP3711600001,1.1862436626024759e-08
2013,JP3870000001,1.4740922256361946e-08
2013,JP3362700001,1.3483556925676562e-10
2013,JP3672400003,2.316407625455331e-08
2013,JP3116000005,1.0895049432156822e-08
2013,JP3634600005,1.773364618594156e-08
2013,JP3351600006,9.782138767743214e-09
2013,AU000000LLC3,4.767596256317635e-08
2013,JP3665200006,1.4019158304902913e-08
2013,JP3165700000,1.2849021585213234e-07
2013,JP3456000003,6.677532574984643e-08
2013,AU000000CBA7,1.3656853006739807e-07
2013,JP3942800008,1.0290737062447999e-08
2013,JP3164800009,0.02432253836504164
2013,JP3407400005,2.0499775750470747e-08
2013,JP3898400001,9.784047087692957e-09
2013,JP3888300005,6.347589035434324e-10
2013,JP3119600009,0.019060663209407032
2013,JP3134800006,5.474418308050463e-08
2013,AU000000GWA4,6.389586763171744e-08
2013,JP3224200000,2.9430249650396796e-08
2013,JP3502200003,2.854147480512523e-07
2013,JP3868400007,1.9799161952512993e-08
2013,JP3197600004,0.0
2013,BMG8063F1068,0.0054402097824669746
2013,JP3118000003,1.424999782714818e-07
2013,JP3304200003,7.573890324211353e-08
2013,JP3684000007,2.1457182229477213e-08
2013,BMG524401079,1.4085737796776105e-07
2013,NZCENE0001S6,6.860685065359518e-10
2013,JP3266400005,3.20256851853411e-08
2013,JP3205800000,8.403036783593772e-09
2013,JP3811000003,4.2319863230346365e-08
2013,JP3686800008,2.726956636189643e-10
2013,JP3190000004,2.611264933581614e-08
2013,JP3215800008,1.9479009388383732e-09
2013,JP3726800000,4.7095107201636905e-08
2013,AU000000DOW2,1.8176894847211506e-08
2013,JP3495000006,2.5929614522733066e-08
2013,JP3638600001,2.790225752886488e-09
2013,JP3481800005,1.3849116697170651e-08
2013,JP3429800000,0.0250676331414359
2013,JP3613400005,2.6286355698065238e-08
2013,JP3621000003,2.307004749369632e-09
2013,JP3720800006,2.6794030757625848e-08
2013,HK0293001514,9.498925731074735e-11
2013,JP3229400001,9.486910866447742e-09
2013,AU000000MTS0,3.698148173118267e-08
2013,JP3258000003,2.2264530942570644e-08
2013,JP3493400000,6.355441182543866e-09
2013,JP3242800005,3.914572613587188e-08
2013,AU000000BLD2,4.208023260775881e-09
2013,JP3573000001,0.010298830326297435
2013,JP3405400007,9.361552155687405e-08
2013,JP3635400009,1.1900922518681648e-08
2013,JP3977400005,0.0649531669925858
2013,JP3596200000,2.083892943234742e-08
2013,JP3300600008,1.986104649955033e-08
2013,JP3200450009,6.192983415895225e-08
2013,JP3522200009,0.0
2013,JP3619800000,1.8061453452509888e-09
2013,JP3870400003,9.770778005242268e-08
2013,JP3551200003,0.0
2013,JP3566800003,3.553483355915979e-08
2013,JP3951600000,7.04709657332314e-09
2013,JP3475350009,2.5050918369873666e-08
2013,JP3890350006,2.2269047710775686e-07
2013,JP3526600006,0.02230130392781424
2013,JP3733000008,4.9916198253250714e-08
2013,JP3210200006,2.5956130233196395e-08
2013,JP3165600002,1.107926778260671e-08
2013,JP3539220008,0.008250450466844979
2013,JP3375800004,2.1535810318012125e-08
2013,JP3122400009,1.981033759250621e-07
2013,JP3294460005,1.6583467653698263e-08
2013,JP3738600000,0.015131190934281903
2013,AU000000WES1,1.829838573097103e-08
2013,AU000000PPT9,2.450066775458192e-07
2013,JP3180400008,0.0
2013,HK0823032773,0.027655358638199748
2013,JP3942400007,3.149025622004885e-08
2013,AU000000APA1,8.080007658938282e-09
2013,BMG677491539,0.002825030664545858
2013,BMG2442N1048,7.166157582791036e-08
2013,JP3877600001,1.0546942000892074e-07
2013,AU000000QBE9,1.3092653225474462e-07
2013,JP3158800007,1.179031665188413e-10
2013,JP3688370000,6.765770337603272e-09
2013,JP3197800000,5.440590525148141e-08
2013,JP3734800000,0.016484960169778507
2013,AU000000MND5,8.541746876172475e-08
2013,HK0002007356,0.11769468122708536
2013,JP3900000005,6.928280328836833e-08
2013,JP3289800009,1.6254947617482403e-10
2013,HK0019000162,0.029507330276559662
2013,JP3126400005,6.787687238496609e-08
2013,JP3626800001,1.1019764846361822e-08
2013,JP3830000000,4.820275318169417e-08
2013,JP3528600004,1.7697085279357876e-07
2013,SG1F60858221,3.4988357415839285e-08
2013,AU000000OZL8,1.0541043641865127e-08
2013,JP3269600007,4.8207341607024774e-09
2013,AU000000SUN6,1.9665346225796705e-07
2013,JP3634200004,1.9252446380795615e-08
2013,JP3388200002,2.2828473591571364e-08
2013,JP3491000000,8.187196352540883e-09
2013,JP3493800001,1.3325084413036314e-08
2013,JP3595200001,1.3073064198273947e-10
2013,AU000000TCL6,7.682999934964066e-08
2013,SG1U68934629,1.9011515079344163e-08
2013,HK0003000038,0.0
2013,AU000000CWY3,5.2408200047332616e-09
2013,NZTELE0001S4,1.0888844203827313e-07
2013,AU000000ORG5,0.016852920891984632
2013,SG1V61937297,3.356913969065082e-10
2013,AU000000ANZ3,2.2776682980560154e-07
2013,JP3792600003,4.04951258571115e-08
2013,JP3982800009,9.522557121958409e-09
2013,JP3891600003,2.2510778614399055e-08
2013,JP3402600005,1.2629134143170184e-08
2013,JP3449020001,1.6371770632884988e-10
2013,JP3174410005,5.765335962138121e-10
2013,AU000000SGM7,3.2638278504289225e-08
2013,AU000000NCM7,1.6054795740687926e-08
2013,JP3866800000,4.251156850180314e-09
2013,IE00BKVD2N49,3.426990740658752e-08
2013,AU000000ASX7,1.2656049511624843e-07
2013,JP3788600009,2.0409256396271434e-08
2013,JP3982100004,0.12574944489011952
2013,AU000000TLS2,0.004018796829863298
2013,JP3535800001,1.683411196510886e-08
2013,JP3414750004,0.06749232926164843
2013,JP3910660004,9.670190371970179e-08
2013,JP3223800008,5.429353600134509e-11
2013,JP3420600003,3.664440073805912e-08
2013,JP3633400001,1.8444813716740957e-08
2013,JP3973400009,1.6529145917685906e-08
2013,AU0000224040,5.434549712749227e-09
2013,JP3209000003,1.2469012674366252e-07
2013,JP3320800000,2.5512434557636633e-08
2013,JP3385820000,7.458147003862643e-08
2013,AU000000WOW2,2.0582791266917988e-08
2013,AU000000BSL0,2.2411757655160213e-10
2013,JP3435000009,1.5640316281850095e-08
2013,HK0006000050,0.24151587491922202
2013,JP3246400000,5.663951690767664e-10
2013,AU000000MAH3,8.160638008271827e-09
2013,SGXE34184239,6.429740459569554e-08
2013,BMG684371393,0.0019486708088294069
2013,JP3667600005,3.557483238268539e-08
2013,AU000000CSR5,5.5079021728323635e-09
2013,AU000000MQG1,2.9685392413877196e-07
2013,JP3592200004,2.2272328697934788e-08
2013,AU000000CIM7,6.1537444046755926e-09
2013,JP3571400005,1.6310334361987303e-07
2013,JP3902900004,9.44690918595885e-08
2013,NZFBUE0001S0,1.1193981843790384e-08
2013,AU000000WOR2,8.94844143342028e-08
2013,SGXE21576413,2.59310076615809e-07
2013,AU000000TAH8,1.733631380520811e-07
2013,HK0200030994,3.0159262220848903e-07
2013,JP3027680002,5.230874836887951e-08
2013,JP3827200001,2.1623277344077267e-08
2013,AU000000ORI1,6.217392973941534e-09
2013,NZAIAE0002S6,4.6954145452300177e-08
2013,JP3401400001,8.58732113487374e-10
2013,JP3786200000,1.1484437366394194e-08
2013,JP3148800000,2.049099153140682e-08
2013,JP3358800005,1.5020016446236806e-08
2013,JP3893600001,1.4869309070079155e-08
2013,JP3888400003,2.7500787770588498e-09
2013,AU000000ERA9,1.1320561145327898e-08
2013,JP3194000000,5.7397446714458584e-08
2013,AU0000088338,2.8201878312158724e-09
2013,HK0010000088,2.2278944074486535e-08
2013,JP3350800003,0.035467275539399
2013,JP3914400001,3.6755716986843237e-08
2013,JP3659000008,8.623896144046079e-09
2013,JP3452000007,3.841876993660734e-08
2013,JP3359600008,4.593852428975621e-09
2013,AU000000SBM8,0.0012488643921612311
2013,JP3270000007,1.5250649123095102e-08
2013,JP3629000005,1.6293131298328287e-08
2013,HK0388045442,0.0
2013,JP3762600009,3.115262904731322e-07
2013,JP3845400005,0.0
2013,HK0011000095,4.653654296090665e-09
2013,JP3293200006,1.2809710640064826e-08
2013,AU000000IGO4,4.403937474248676e-08
2013,HK0066009694,5.337618722958976e-09
2014,JP3820000002,3.5503023798606314e-08
2014,JP3582600007,3.9345855510559725e-07
2014,JP3463000004,5.334818033007915e-09
2014,AU000000NAB4,1.9455613164502097e-07
2014,JP3830800003,0.0
2014,JP3818000006,4.664996139629209e-08
2014,JP3903000002,4.573537305470628e-10
2014,JP3551520004,1.2462463314566848e-07
2014,JP3743000006,6.969892965792378e-09
2014,JP3814800003,0.03166295955954486
2014,AU000000BWP3,7.90066411412702e-08
2014,JP3505000004,3.0513270044954695e-08
2014,JP3753000003,1.3808159461514556e-10
2014,JP3902400005,3.981662462413773e-08
2014,JP3854600008,9.535769652737111e-09
2014,JP3166000004,1.1205255419062046e-07
2014,AU000000AMP6,2.1008667604937367e-07
2014,AU000000IAG3,1.520713770855871e-07
2014,JP3551500006,1.140958142637771e-08
2014,JP3368000000,5.030575195465722e-10
2014,AU0000038911,5.972414409946359e-09
2014,AU000000CQR9,5.011803616217821e-07
2014,JP3605400005,1.2576836846213367e-11
2014,JP3787000003,6.994967837993133e-08
2014,JP3419400001,2.491531116146261e-08
2014,AU000000QAN2,9.081593050043653e-11
2014,AU000000BEN6,1.9674894801768373e-07
2014,JP3814000000,9.977094412882052e-09
2014,HK0004000045,1.1937449606363083e-07
2014,JP3357200009,0.03656331668591134
2014,AU000000WBC1,1.6798145708665866e-07
2014,JP3657400002,4.025225275965198e-08
2014,AU000000COH5,1.2215552502182377e-07
2014,AU000000GPT8,2.0831156383921268e-07
2014,JP3890310000,1.5701133081687144e-07
2014,JP3850200001,1.2237009691887023e-11
2014,AU000000STO6,8.267876870069744e-09
2014,JP3111200006,2.0539862320488182e-09
2014,JP3256000005,2.9282745566518445e-08
2014,SG1R50925390,1.971873814532184e-09
