Year,WACI_MV,WACI_VW,CF_MV,CF_VW
2013,2185.452931601509,191.51430209786741,717.6017072623961,227.9315814378534
2014,1615.8145258957761,175.88117799161716,764.9044964294792,209.14639269454017
2015,3079.1213310749695,346.23793653759697,552.1921446273429,217.5362844162682
2016,3912.024401326278,443.45814484331265,540.3484586482739,265.11644629574886
2017,1317.2365890366466,517.287687726501,552.4816062114993,232.7716948368502
2018,1472.5653121066973,395.54077286096106,874.838946854285,181.35263520407918
2019,1174.9294666342362,300.37190715462305,690.6653732879705,194.7648324807963
2020,1058.5006811884527,242.43828595401314,639.7319251400911,155.0397857431221
2021,1227.7854248562544,201.53742068277128,851.2241739996614,151.63128462291675
2022,714.4189476229462,228.03880511298607,521.9350892540197,152.7499107133157
2023,352.18745008845286,205.50853841997338,447.837193399887,155.02705289637967
2024,392.7667004187277,204.75028905283327,436.04811006270745,147.75891742561842
