ISIN,Name,Avg_WACI_Contribution_MV
HK0006000050,POWER ASSETS HOLDINGS,1649.7407081977235
HK0002007356,CLP HOLDINGS,853.0367436515481
BMG2178K1009,CKI HOLDINGS,119.33514159155474
JP3429800000,ANA HOLDINGS,12.583423659324557
JP3180400008,OSAKA GAS,10.62765783545988
MU0117U00026,GOLDEN AGRI-RESOURCES,8.643773100225815
JP3573000001,TOKYO GAS,7.860670948622265
HK0019000162,SWIRE PACIFIC 'A',6.684201059720787
JP3400900001,SUMITOMO OSAKA CEMENT,5.47728947598992
HK0003000038,HONG KONG AND CHINA GAS,2.628145235632355
