ISIN,Name,Avg_WACI_Contribution_VW
HK0006000050,POWER ASSETS HOLDINGS,138.32022488060227
BMG2178K1009,CKI HOLDINGS,31.943447900848607
HK0836012952,CHINA RESOURCES POWER,18.246869170919997
HK0002007356,CLP HOLDINGS,17.337424811029084
AU0000224040,WOODSIDE ENERGY GROUP,8.737566398320928
JP3551200003,ELEC.POWER DEV.,7.2594877076789635
HK2380027329,CHIN.PWR.INTDVT.,6.185252150134685
JP3381000003,NIPPON STEEL,5.666609019044042
AU000000BHP4,BHP GROUP,5.488188651618617
HK0019000162,SWIRE PACIFIC 'A',3.610618514987584
