Year,TotalCO2_MV,TotalCO2_VW,TotalCO2_MV05,TotalCO2_TE05,TotalCO2_NZ,V_MV_MUSD,V_VW_MUSD,V_MV05_MUSD,V_TE05_MUSD,V_NZ_MUSD
2013,717.6017,227.9316,358.8009,32.6801,32.6801,1.0,1.0,1.0,1.0,1.0
2014,871.9063,207.8143,434.2978,29.4517,29.4517,1.1399,0.9936,1.1356,0.9905,0.9905
2015,779.1093,220.6871,397.014,19.3352,19.3352,1.4109,1.0145,1.438,1.0188,1.0188
2016,809.6711,280.6479,404.5651,14.0803,14.0803,1.4984,1.0586,1.4974,1.0922,1.0922
2017,968.5885,304.746,485.7705,15.5597,15.5597,1.7532,1.3092,1.7585,1.3432,1.3432
2018,1462.5857,209.6957,714.2596,14.1888,14.1888,1.6718,1.1563,1.6329,1.167,1.167
2019,1170.1091,267.0972,579.4542,14.2573,14.2573,1.6942,1.3714,1.678,1.3988,1.3988
2020,991.4848,233.0028,500.4503,17.3484,17.3484,1.5498,1.5029,1.5646,1.4697,1.4697
2021,1437.4217,238.1189,707.9439,14.7527,14.7527,1.6887,1.5704,1.6634,1.5443,1.5443
2022,838.1855,213.038,414.9565,15.316,15.316,1.6059,1.3947,1.5901,1.3956,1.3956
2023,723.0705,248.577,343.6596,18.3901,18.3901,1.6146,1.6034,1.5348,1.5546,1.5546
2024,763.2261,255.0728,363.7395,21.8123,21.8123,1.7503,1.7263,1.6683,1.7209,1.7209
