Year,ISIN,Weight
2013,JP3502200003,1.4079466273616687e-07
2013,JP3351600006,6.672107320464661e-09
2013,SG1J26887955,1.0448975220546722e-07
2013,JP3174410005,4.15032790687064e-10
2013,JP3903000002,3.1973565287111354e-10
2013,HK0006000050,0.28194402398553214
2013,AU000000MAH3,1.2092328409133985e-08
2013,JP3818000006,1.806442317635285e-08
2013,AU000000IVC8,3.8681203435905074e-08
2013,AU000000TCL6,1.0398431882140127e-07
2013,JP3788600009,1.431650521850187e-08
2013,AU000000STO6,5.4951206142303125e-09
2013,AU000000TAH8,1.3769720962355274e-07
2013,JP3544000007,2.4126325033578013e-09
2013,JP3388200002,1.6757480099879756e-08
2013,JP3215800008,1.7175049184482242e-09
2013,JP3258000003,9.458355981540678e-09
2013,JP3495000006,1.3912266612560747e-08
2013,JP3401400001,6.42719535353036e-10
2013,JP3634200004,7.280214961407525e-09
2013,JP3596200000,6.799445309208321e-09
2013,JP3419400001,1.2756914532471907e-08
2013,JP3893600001,1.4260953956114323e-08
2013,JP3845400005,2.101513003481522e-11
2013,AU000000IAG3,1.0790511371170037e-07
2013,AU000000SBM8,2.3591262752348203e-08
2013,BMG524401079,1.7712510358931007e-07
2013,JP3481800005,8.780953832129832e-09
2013,JP3621000003,2.1281577801863016e-09
2013,IE00BKVD2N49,4.8173129052618165e-08
2013,JP3435000009,2.4831804388597177e-08
2013,AU000000ANZ3,1.6756480924572667e-07
2013,JP3811000003,2.7257838643238855e-08
2013,AU000000DOW2,2.044177892022326e-08
2013,JP3242800005,2.6736081148430396e-08
2013,HK0003000038,0.03003792664996878
2013,JP3566800003,8.3252007713151e-09
2013,JP3407400005,1.189927905573283e-08
2013,BMG677491539,1.0578911933313385e-09
2013,JP3592200004,1.9488380230353096e-08
2013,JP3753000003,7.783115545187624e-11
2013,JP3463000004,0.02451794662717879
2013,JP3787000003,5.676795401209295e-08
2013,AU000000BWP3,6.675721903291114e-08
2013,BMG2442N1048,7.225402443148126e-08
2013,JP3955000009,4.009749320194393e-08
2013,JP3148800000,1.5253408363030223e-08
2013,AU000000MTS0,3.886832372332607e-08
2013,SGXE21576413,2.8605645955505304e-07
2013,JP3743000006,2.8535678768398865e-09
2013,JP3659000008,0.03262953111533885
2013,JP3134800006,3.6635384644271875e-08
2013,JP3205800000,8.488245294288659e-10
2013,JP3535800001,1.2339692438246576e-08
2013,JP3942400007,0.003760421256738352
2013,JP3973400009,1.157042264263101e-08
2013,JP3888400003,2.54600641349179e-09
2013,JP3118000003,8.943583801877351e-08
2013,JP3982800009,6.382736138669583e-09
2013,JP3902900004,6.185765060847606e-08
2013,JP3942800008,1.200089783174272e-08
2013,JP3573000001,0.020400538037027308
2013,JP3385820000,5.30322744428263e-08
2013,JP3982100004,0.11265722638206004
2013,AU000000BEN6,1.6700504084289929e-07
2013,JP3165600002,1.266038491918909e-08
2013,AU000000MND5,1.1659167650033587e-07
2013,JP3116000005,0.001897985022633639
2013,AU000000QAN2,2.9288822506170515e-10
2013,JP3519400000,1.4378693958181098e-08
