Year,ISIN,Weight
2013,JP3224200000,0.0017477303035695682
2013,JP3388200002,0.002995739629894731
2013,JP3210200006,0.0010467910174127043
2013,JP3667600005,0.002417796256100455
2013,JP3148800000,0.0006636730185109923
2013,JP3112000009,0.0025764949817406544
2013,JP3419400001,0.0016135399046748097
2013,JP3827200001,0.0005319651433226503
2013,JP3870400003,0.000837357453421926
2013,JP3350800003,0.0009550383813163181
2013,AU000000DXS1,0.0017753639812104784
2013,SGXE34184239,0.0026984412522488297
2013,AU000000WBC1,0.030379432190179394
2013,NZAIAE0002S6,0.0010572883989449769
2013,JP3738600000,0.0009241807448382099
2013,JP3634600005,0.003588869432323438
2013,AU0000088338,0.0017740541877346453
2013,AU0000224040,0.01011924006815844
2013,JP3891600003,0.000496972769814333
2013,AU000000BSL0,0.0005886323136371063
2013,JP3820000002,0.0006431566144139421
2013,AU000000BHP4,0.04214658710117046
2013,JP3246400000,0.0017717394049822062
2013,JP3223800008,0.00034571968234523677
2013,JP3830800003,0.007055687636088126
2013,JP3420600003,0.002418108313123342
2013,JP3890310000,0.004391222912269785
2013,JP3126400005,0.00039535015101635663
2013,AU000000IAG3,0.003646273409243621
2013,JP3720800006,0.0013085355585894058
2013,SGXE21576413,0.005000433826371553
2013,JP3902400005,0.005820733590518974
2013,AU000000WOR2,0.002173520845331239
2013,JP3672400003,0.015186744152046199
2013,AU000000ANZ3,0.025365125036430104
2013,JP3629000005,0.00144200317150746
2013,HK0200030994,0.0008647038469392963
2013,JP3435000009,0.004936953890083037
2013,AU000000TAH8,0.0007399855756939703
2013,JP3638600001,0.0007290315910878674
2013,JP3888300005,0.0008605562191275161
2013,AU000000BEN6,0.0012487395441903623
2013,JP3743000006,0.0011326667082554459
2013,JP3452000007,0.0003297843508403443
2013,AU000000TLS2,0.0199934192675822
2013,JP3982800009,0.0011999703039272153
2013,JP3596200000,0.0010315426832041336
2013,AU000000NAB4,0.02265463299807443
2013,JP3753000003,0.001183259734237778
2013,AU000000GWA4,0.0002659528818430118
2013,JP3890350006,0.01857148694930263
2013,AU000000SUN6,0.004870937116175337
2013,HK0003000038,0.008223716313427783
2013,JP3256000005,0.0017827219680964894
2013,AU000000MQG1,0.004644715923132953
2013,JP3269600007,0.0016454572130171002
2013,JP3526600006,0.003017101871610774
2013,JP3535800001,0.0007728022012593847
