ReferenceWeight,CandidateWeight,DeltaWeight,AbsDeltaWeight,ChangeType,Year,ISIN
0.2087733430016743,0.1001832742955629,-0.1085900687061114,0.1085900687061114,Underweighted,2014,HK0002007356
0.25794683396614554,0.2819440232842986,0.023997189318153034,0.023997189318153034,Overweighted,2014,HK0006000050
0.029984042059749322,0.006247002630936306,-0.023737039428813018,0.023737039428813018,Underweighted,2014,JP3429800000
0.020225257639536653,0.04072193717292804,0.020496679533391387,0.020496679533391387,Overweighted,2014,HK0823032773
0.006495998740703052,0.02451794613133664,0.018021947390633584,0.018021947390633584,Overweighted,2014,JP3463000004
0.017845444632123342,4.149237048756098e-10,-0.017845444217199635,0.017845444217199635,Underweighted,2014,HK0019000162
0.09648095545340012,0.11265722590313049,0.01617627044973037,0.01617627044973037,Overweighted,2014,JP3982100004
0.006392784194444856,0.019125191398017417,0.012732407203572561,0.012732407203572561,Overweighted,2014,JP3357200009
0.018157928957601953,0.0058881393681414354,-0.012269789589460518,0.012269789589460518,Underweighted,2014,JP3180400008
0.029881257460883128,0.04189243135742901,0.012011173896545883,0.012011173896545883,Overweighted,2014,JP3977400005
0.024746672575412198,0.03574182870024448,0.010995156124832279,0.010995156124832279,Overweighted,2014,SG1F60858221
0.009609629039115686,1.6706429581177134e-11,-0.009609629022409256,0.009609629022409256,Underweighted,2014,JP3522200009
0.012763383364067247,0.022046470372758444,0.009283087008691198,0.009283087008691198,Overweighted,2014,JP3633400001
0.020813290299160885,0.029563521947677987,0.008750231648517102,0.008750231648517102,Overweighted,2014,JP3197600004
0.032475413149899976,0.04081346345415984,0.008338050304259867,0.008338050304259867,Overweighted,2014,JP3260800002
0.0,0.0077533224196201745,0.0077533224196201745,0.0077533224196201745,Added,2014,HK0011000095
0.02379180158963116,0.03003792651507038,0.0062461249254392205,0.0062461249254392205,Overweighted,2014,HK0003000038
0.019402563486669605,0.02515117277359117,0.005748609286921565,0.005748609286921565,Overweighted,2014,JP3414750004
0.029021568046714415,0.034466792930503004,0.005445224883788589,0.005445224883788589,Overweighted,2014,JP3951600000
0.03947412908784091,0.034578437988012606,-0.004895691099828306,0.004895691099828306,Underweighted,2014,JP3371200001
0.0026898770662212228,0.007416449354647331,0.004726572288426108,0.004726572288426108,Overweighted,2014,JP3738600000
0.0,0.004365776480601135,0.004365776480601135,0.004365776480601135,Added,2014,HK0066009694
0.006449052157587277,0.0023801031778008766,-0.004068948979786401,0.004068948979786401,Underweighted,2014,JP3119600009
0.02982630073421035,0.03262953093974084,0.0028032302055304888,0.0028032302055304888,Overweighted,2014,JP3659000008
0.0019334587742989558,2.4997243780087158e-11,-0.001933458749301712,0.001933458749301712,Underweighted,2014,JP3850200001
0.0,0.0018979848468071005,0.0018979848468071005,0.0018979848468071005,Added,2014,JP3116000005
0.001992003009716318,0.003760421151562252,0.0017684181418459338,0.0017684181418459338,Overweighted,2014,JP3942400007
0.0320837511694029,0.03380891371104949,0.001725162541646591,0.001725162541646591,Overweighted,2014,JP3814000000
0.020743260343788608,0.02040053806788183,-0.00034272227590677676,0.00034272227590677676,Underweighted,2014,JP3573000001
0.0,4.849687435898202e-07,4.849687435898202e-07,4.849687435898202e-07,Added,2014,HK0200030994
0.0,4.509029895822579e-07,4.509029895822579e-07,4.509029895822579e-07,Added,2014,AU000000CQR9
0.0,3.137937391048289e-07,3.137937391048289e-07,3.137937391048289e-07,Added,2014,AU000000MQG1
