Year,WACI_MV,WACI_VW,CF_MV,CF_VW
2013,2185.452700585587,191.51430209786733,717.6017208850469,227.93158143785337
2014,1615.8146009119919,175.8811779916172,764.9045312773494,209.14639269454025
2015,3079.1211948590576,346.23793653759697,552.1921157740233,217.5362844162682
2016,3912.0247853879287,443.4581448433129,540.348445761969,265.1164462957488
2017,1317.2365703674457,517.2876877265008,552.4816051762768,232.77169483685012
2018,1472.5652870934312,395.540772860961,874.8389373253262,181.35263520407918
2019,1174.9294731403613,300.37190715462316,690.6653814963983,194.7648324807963
2020,1058.500675661593,242.43828595401305,639.7319223285858,155.03978574312208
2021,1227.7854104578682,201.5374206827714,851.2241681288411,151.6312846229167
2022,714.4188411827396,228.03880511298604,521.9350466783251,152.74991071331567
2023,352.18744717567375,205.50853841997332,447.83718633160527,155.02705289637962
2024,392.7666727668861,204.75028905283332,436.04808393157504,147.75891742561842
