Year,TotalCO2_MV,TotalCO2_VW,TotalCO2_MV05,TotalCO2_TE05,TotalCO2_NZ,V_MV_MUSD,V_MV05_MUSD,V_TE05_MUSD,V_NZ_MUSD
2013,717.6017,227.9316,358.8009,113.9658,205.1384,1.0,1.0,1.0,1.0
2014,1079.2333,295.0927,490.5167,105.6692,186.3567,1.4109,1.2826,1.0105,1.0094
2015,827.4179,325.9616,358.057,116.6489,177.705,1.4984,1.2969,1.0725,1.0695
2016,947.3172,464.7915,410.7319,174.3631,196.056,1.7532,1.5202,1.3154,1.311
2017,923.6577,389.1557,395.7578,135.3666,156.1384,1.6718,1.4327,1.1631,1.1601
2018,1482.1316,307.2434,657.4333,125.9383,167.5507,1.6942,1.503,1.3889,1.3832
2019,1070.4237,301.8551,492.0792,145.0775,161.6688,1.5498,1.4249,1.4898,1.4829
2020,1080.2848,261.8083,491.3151,121.638,153.3379,1.6887,1.536,1.5691,1.5628
2021,1366.9971,243.5076,622.4416,106.5539,123.6244,1.6059,1.4625,1.4054,1.4
2022,842.7077,246.6275,406.5577,124.7729,129.337,1.6146,1.5579,1.6337,1.6274
2023,783.8608,271.3478,356.2694,135.4176,124.5179,1.7503,1.5911,1.747,1.7408
2024,1087.6487,368.5598,505.6748,160.9443,139.8052,2.4943,2.3194,2.1785,2.1717
