Year,ISIN,Weight
2013,JP3505000004,2.4025813599063853e-08
2013,AU000000QAN2,2.7334081148497314e-10
2013,HK0003000038,0.02936286359872727
2013,SG1U68934629,2.464661571739629e-08
2013,JP3778630008,5.977788868110478e-08
2013,SGXE21576413,2.6696498292464115e-07
2013,JP3811000003,2.543864648482172e-08
2013,JP3792600003,1.842662603403413e-08
2013,JP3977400005,0.04003305111826629
2013,JP3210200006,1.442716727338183e-08
2013,AU000000ASX7,1.288810622860439e-07
2013,AU000000SBM8,2.2016838116433565e-08
2013,JP3940000007,3.843010066450689e-09
2013,JP3890350006,1.1673204164685061e-07
2013,JP3463000004,0.02203639944832887
2013,AU000000MGR9,2.026024198143125e-07
2013,BMG677491539,9.872894644007343e-10
2013,JP3452000007,2.149873049993854e-08
2013,SG9999000020,4.991637135964145e-08
2013,HK0006000050,0.27843393696359664
2013,JP3443600006,1.5814696999734653e-08
2013,JP3819400007,2.736526905511806e-08
2013,JP3711600001,8.206920275024758e-09
2013,AU000000SHL7,7.466672435513357e-08
2013,HK0019000162,3.872318953623421e-10
2013,JP3733000008,3.642738899165899e-08
2013,JP3405400007,6.336034382547847e-08
2013,JP3112000009,1.298546370829151e-09
2013,NZAIAE0002S6,7.819371737773549e-08
2013,JP3582600007,2.0829738702489605e-07
2013,AU000000CSL8,3.820818333314355e-08
2013,JP3830800003,9.702270577200462e-10
2013,JP3495000006,1.2983773874244168e-08
2013,AU000000DXS1,1.1122861166895413e-07
2013,AU000000MQG1,2.928510310198603e-07
2013,JP3519400000,1.3419051447524516e-08
2013,JP3951600000,0.033722592394878875
2013,JP3942400007,0.0032340743921186496
2013,JP3526600006,2.31298170437628e-11
2013,JP3726800000,1.7023897052287226e-08
2013,AU000000WBC1,1.3816572708666866e-07
2013,HK0010000088,5.4517059670346904e-08
2013,JP3201200007,3.652156783293242e-08
2013,HK0002007356,0.11779148311641978
2013,JP3657400002,5.3634369380901866e-08
2013,JP3165600002,1.1815419857700253e-08
2013,SG1R50925390,1.6121085697265915e-09
2013,AU0000088338,3.786920276546405e-09
2013,JP3891600003,1.4512203143994808e-08
2013,AU000000WES1,1.556966188824967e-08
2013,JP3407400005,1.1105136365644982e-08
2013,JP3753000003,7.263673419782297e-11
2013,JP3868400007,2.2919867744622538e-08
2013,JP3122400009,1.3833637800369277e-07
2013,JP3246400000,0.0
2013,JP3850200001,2.3328897631071445e-11
2013,SG1J26887955,9.751617486559011e-08
2013,JP3902900004,5.772909146477776e-08
2013,JP3266400005,1.897087883517361e-08
2013,JP3197800000,2.1178440696060962e-08
2013,JP3385980002,7.004867082396151e-09
2013,JP3194000000,3.2959378189756125e-08
2013,AU000000SIG5,4.077673057973221e-08
2013,SG1V61937297,4.343734782730454e-10
2013,JP3116000005,0.0010181172060771703
2013,SG1R89002252,1.3533694622161262e-07
2013,AU000000TCL6,9.704441442307889e-08
2013,JP3684000007,1.1784392976561484e-08
2013,AU000000ORG5,1.065318822066882e-09
2013,JP3788600009,1.3361005750648889e-08
2013,AU000000BLD2,2.9142769104614788e-09
2013,JP3421100003,1.0693859757478555e-08
2013,JP3491000000,5.227367120713207e-09
2013,JP3205800000,7.921672049193708e-10
2013,AU000000CWY3,5.44274607542703e-09
2013,JP3783600004,2.2450582155623994e-09
2013,JP3429800000,0.010643604685172073
2013,AU000000CIM7,5.493964169468379e-09
2013,JP3982800009,5.956749335391869e-09
2013,JP3528600004,1.593324673000389e-07
2013,JP3435000009,2.3174536244535227e-08
2013,JP3890310000,6.369609940412136e-08
2013,BMG8063F1068,1.59273688120502e-08
2013,AU000000ORI1,6.4792606108368155e-09
2013,JP3293200006,3.918901752177926e-09
2013,AU000000WOW2,1.764098541846633e-08
2013,JP3269600007,2.172180959435702e-09
2013,JP3633400001,0.02058013663835103
2013,JP3256000005,1.6705606892712952e-08
2013,JP3224200000,2.01449543968246e-08
2013,JP3629000005,6.512969216576565e-09
2013,JP3893600001,1.3309177435626018e-08
2013,BMG2442N1048,6.743187928807718e-08
2013,JP3605400005,1.7295504140375335e-11
2013,JP3787000003,5.297925263825704e-08
2013,JP3845400005,1.9612548145145936e-11
2013,JP3743000006,2.6631186473388013e-09
2013,JP3228600007,2.2683854630575718e-11
2013,JP3734800000,2.6272571191895336e-08
2013,AU000000NCM7,2.263929954221366e-08
2013,JP3942800008,1.1199978309379235e-08
2013,JP3258000003,8.827098873827276e-09
2013,AU000000BSL0,2.035679578486525e-10
2013,AU000000COH5,1.2870217441466446e-07
2013,JP3456000003,2.9250346222271515e-08
2013,JP3738600000,0.006870208618488848
2013,BMG524401079,1.6530391898021461e-07
2013,AU000000MND5,1.0881043817033602e-07
2013,NZFBUE0001S0,9.149386290998012e-09
2013,JP3209000003,7.817166738048216e-08
2013,JP3402600005,9.35451523576006e-09
2013,JP3619800000,9.182249673095843e-10
2013,JP3571400005,1.0286205272397034e-07
2013,AU000000SUN6,1.6529951926865215e-07
2013,JP3166000004,4.509585696454312e-08
2013,JP3368000000,5.214290888701282e-10
2013,JP3190000004,1.0774560787268753e-08
2013,JP3720800006,1.642082941787503e-08
2013,JP3818000006,1.685880986994394e-08
2013,JP3229400001,4.6174462744489005e-09
2013,SGXE34184239,6.504258403545186e-08
2013,AU000000BHP4,7.928939104667257e-09
2013,JP3260800002,0.03941339964355799
2013,JP3626800001,3.4242948172284324e-09
2013,AU000000TLS2,4.279984108892592e-08
2013,JP3242800005,2.495173041483829e-08
2013,JP3814000000,0.03412640562092247
2013,AU000000IGO4,5.041859714820727e-08
